Year,District,Code,Location,Theft,Local,Latitude,Longitude,Area,Population,Density,Total crimes,Crime geodensity,Crime per capita,Theft density,Theft per capita,Total crime trend,Total theft trend,Deviation from district average
2012,Mitte,10111,Tiergarten Süd,2263,1032,52.52549055,13.352288960819063,10.7,79582.0,7445.0,4301,401.96261682242994,0.054044884521625494,211.49532710280374,0.028436078510215877,,,-2531.284090909091
2012,Mitte,10112,Regierungsviertel,3203,870,52.5194841,13.3764685,10.7,79582.0,7445.0,5176,483.7383177570094,0.06503983312809429,299.3457943925234,0.04024779472745093,,,-1656.284090909091
2012,Mitte,10113,Alexanderplatz,8988,3108,52.5219814,13.413635717448294,10.7,79582.0,7445.0,16206,1514.5794392523364,0.20363901384735242,840.0,0.11294011208564751,,,9373.715909090908
2012,Mitte,10221,Moabit West,2470,1403,52.5308177,13.3264507,10.7,79582.0,7445.0,5557,519.3457943925234,0.06982734789273956,230.84112149532712,0.03103716920911764,,,-1275.284090909091
2012,Mitte,10222,Moabit Ost,2290,1212,52.5370052,13.3509974,10.7,79582.0,7445.0,5070,473.8317757009346,0.06370787363976779,214.01869158878506,0.02877535121007263,,,-1762.284090909091
2012,Mitte,10331,Osloer Straße,3666,1699,52.5571597,13.3732715,10.7,79582.0,7445.0,6991,653.3644859813085,0.08784649795179815,342.61682242990656,0.04606569324721671,,,158.715909090909
2012,Mitte,10442,Wedding Zentrum,3396,2556,52.5456519,13.3451694,10.7,79582.0,7445.0,8349,780.2803738317757,0.10491065818903772,317.3831775700935,0.04267296624864919,,,1516.715909090909
2012,Pankow,30101,Buch,1035,323,52.6366724,13.4999292,18.2,13188.0,727.0,2027,111.37362637362638,0.15370033363663937,56.86813186813187,0.07848043676069154,,,-392.83823529411757
2012,Pankow,30203,Buchholz,456,182,52.6105131,13.4281104,5.66,55854.0,9868.0,922,162.89752650176678,0.016507322662656213,80.56537102473499,0.008164142227951445,,,-1497.8382352941176
2012,Pankow,30304,Karow,481,151,52.6150868,13.4862758,6.65,18258.0,2746.0,1027,154.4360902255639,0.05624931536860554,72.33082706766916,0.02634461605871399,,,-1392.8382352941176
2012,Pankow,30406,Pankow Zentrum,2089,811,52.5770168,13.401015725571714,5.66,55854.0,9868.0,3878,685.1590106007067,0.06943101657893795,369.0812720848056,0.03740108139076879,,,1458.1617647058824
2012,Pankow,30408,Pankow Süd,1235,616,52.5662347,13.415688,5.66,55854.0,9868.0,2652,468.5512367491166,0.04748093243098077,218.19787985865725,0.022111218534035162,,,232.16176470588243
2012,Pankow,30509,Weißensee,1537,838,52.5546193,13.4630018,7.93,45485.0,5736.0,3342,421.437578814628,0.0734747719028251,193.82093316519547,0.03379135978894141,,,922.1617647058824
2012,Pankow,30612,Prenzlauer Berg Nord,1870,582,52.5481466,13.4165959,5.66,55854.0,9868.0,3263,576.5017667844522,0.058420166863608694,330.3886925795053,0.03348014466287106,,,843.1617647058824
2012,Pankow,30613,Helmholtzplatz,1215,614,52.5430211,13.419032624098314,5.66,55854.0,9868.0,2431,429.50530035335686,0.043524188061732375,214.6643109540636,0.02175314212052852,,,11.161764705882433
2012,Pankow,30614,Prenzlauer Berg Ost,2063,714,52.5430767,13.4149784,5.66,55854.0,9868.0,3814,673.851590106007,0.06828517205571669,364.48763250883394,0.03693558205321015,,,1394.1617647058824
2012,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",315,115,52.56049795,13.48790546797268,5.66,55854.0,9868.0,759,134.09893992932862,0.013588999892577076,55.65371024734982,0.005639703512729617,,,-1660.8382352941176
2012,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,1006,740,52.5405253,13.2962663,6.2,17327.0,2795.0,2494,402.258064516129,0.1439372078259364,162.25806451612902,0.05805967565071853,,,-205.81944444444434
2012,Charlottenburg-Wilmersdorf,40202,Heerstrasse,579,353,52.5087199,13.2183525,17.76,211519.0,24161.0,1469,82.71396396396396,0.0069450025766006835,32.60135135135135,0.0027373427446234144,,,-1230.8194444444443
2012,Charlottenburg-Wilmersdorf,40203,Westend,1974,662,52.5133992,13.2558416,13.5,37883.0,2800.0,3419,253.25925925925927,0.0902515640260803,146.22222222222223,0.052107805612015945,,,719.1805555555557
2012,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,1140,616,52.5206424,13.29271035106452,17.76,211519.0,24161.0,2431,136.8806306306306,0.011493057361277238,64.18918918918918,0.005389586751072008,,,-268.81944444444434
2012,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,893,413,52.5263437,13.3047721,17.76,211519.0,24161.0,1933,108.84009009009009,0.009138658938440519,50.28153153153153,0.004221842955006406,,,-766.8194444444443
2012,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,2273,952,52.5162507,13.3099999,17.76,211519.0,24161.0,4538,255.51801801801798,0.021454337435407693,127.98423423423422,0.010746079548409363,,,1838.1805555555557
2012,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,1283,560,52.506349,13.2804409,17.76,211519.0,24161.0,2639,148.59234234234233,0.01247642055796406,72.24099099099098,0.0060656489487941985,,,-60.81944444444434
2012,Charlottenburg-Wilmersdorf,40308,Kantstraße,2565,691,52.5059993,13.3203256,17.76,211519.0,24161.0,4043,227.64639639639637,0.019114122135600112,144.42567567567565,0.012126570189912018,,,1343.1805555555557
2012,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,4140,1685,52.4994525,13.3036988,17.76,211519.0,24161.0,7270,409.3468468468468,0.034370434807274995,233.1081081081081,0.01957270978020887,,,4570.180555555556
