Year,District,Code,Location,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local,Latitude,Longitude
2017,Pankow,30304,Karow,4,3,87,18,33,406,13,54,96,73,3,0,75,13,19,173,52.6150868,13.4862758
2017,Pankow,30406,Pankow Zentrum,35,23,247,61,98,1807,48,204,496,75,21,9,382,123,39,736,52.5770168,13.40101573
2017,Pankow,30408,Pankow Süd,15,5,208,62,82,1273,70,238,342,45,8,0,293,104,28,552,52.5662347,13.415688
2017,Pankow,30509,Weißensee,30,16,376,96,117,1447,51,200,260,60,17,7,391,97,52,801,52.5546193,13.4630018
2017,Pankow,30612,Prenzlauer Berg Nord,26,13,161,44,53,1772,57,163,426,58,7,0,279,78,46,690,52.5481466,13.4165959
2017,Pankow,30613,Helmholtzplatz,15,7,188,54,47,1566,10,94,301,42,4,1,309,130,48,910,52.5430211,13.41903262
2017,Pankow,30614,Prenzlauer Berg Ost,33,21,294,69,94,2063,69,357,302,76,31,14,473,224,53,664,52.5430767,13.4149784
2017,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",21,15,82,16,51,626,32,157,132,0,3,2,91,20,38,222,52.56049795,13.48790547
2017,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,23,9,331,82,116,1083,80,372,105,40,9,2,261,17,198,756,52.5405253,13.2962663
2017,Charlottenburg-Wilmersdorf,40202,Heerstrasse,16,9,127,36,23,626,37,161,72,67,10,5,169,50,41,279,52.5087199,13.2183525
2017,Charlottenburg-Wilmersdorf,40203,Westend,27,19,325,78,123,2465,105,354,174,70,15,8,272,38,36,732,52.5133992,13.2558416
2017,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,17,8,241,42,93,1179,34,166,236,69,6,3,261,91,37,582,52.5206424,13.29271035
2017,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,12,8,169,33,68,960,30,191,141,38,2,1,180,32,41,460,52.5263437,13.3047721
2017,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,30,13,436,105,132,2361,49,283,417,84,25,8,390,94,78,1054,52.5170866,13.3073288
2017,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,28,12,223,44,81,1885,67,266,260,64,11,6,237,66,69,636,52.5064735,13.2826329
2017,Charlottenburg-Wilmersdorf,40308,Kantstraße,35,17,291,74,84,2591,29,158,286,72,14,4,233,31,58,757,52.506563,13.3079489
2017,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,73,32,718,203,156,4225,53,316,185,55,11,5,384,109,131,1252,52.4996698,13.3057323
2017,Charlottenburg-Wilmersdorf,40310,Halensee,13,7,92,22,46,1017,38,185,124,42,4,3,126,32,11,341,52.4972262,13.2929986
2017,Charlottenburg-Wilmersdorf,40411,Grunewald,10,6,109,17,52,788,53,250,79,98,5,1,198,94,18,327,52.4873475,13.2637538
2017,Charlottenburg-Wilmersdorf,40412,Schmargendorf,3,1,55,18,25,540,39,131,64,38,4,2,76,10,9,162,52.4789022,13.2929962
2017,Charlottenburg-Wilmersdorf,40413,Wiesbadener Straße,7,4,72,7,21,514,20,109,160,39,2,1,112,41,14,196,52.4721226,13.3142591
2017,Charlottenburg-Wilmersdorf,40514,Düsseldorfer Straße,42,16,235,46,94,1993,99,332,296,96,13,7,338,144,53,726,52.4958905,13.3208664
2017,Charlottenburg-Wilmersdorf,40515,Barstraße,6,3,157,29,69,754,26,143,178,33,5,3,138,34,28,375,52.4875731,13.3138651
2017,Charlottenburg-Wilmersdorf,40516,Volkspark Wilmersdorf,31,13,245,55,71,1996,62,289,469,56,17,4,308,88,77,626,52.48338525,13.32550347
2017,Charlottenburg-Wilmersdorf,40617,Forst Grunewald,1,1,10,2,4,33,0,13,0,1,2,2,4,0,0,16,52.4927826,13.21100356
2017,Spandau,50101,Hakenfelde,15,10,190,47,75,782,18,139,102,38,8,5,130,19,35,401,52.5609908,13.1967693
2017,Spandau,50102,Falkenhagener Feld,34,17,424,87,121,1055,37,253,147,83,31,8,280,12,39,865,52.5524034,13.1668941
2017,Spandau,50103,Spandau Mitte,79,46,665,159,224,2378,34,273,298,66,40,20,452,55,189,1308,52.5310341,13.2145545
2017,Spandau,50204,Brunsbütteler Damm,12,4,173,33,63,826,37,149,94,52,10,4,201,31,19,388,52.5327519,13.1494034
2017,Spandau,50205,Heerstraße Nord,26,10,412,108,135,1046,38,152,66,106,15,7,303,91,35,818,52.5216282,13.1630709
2017,Spandau,50206,Wilhelmstadt,42,21,644,176,179,2950,33,233,279,89,17,8,484,72,79,1196,52.5139207,13.1914518
2017,Spandau,50307,Haselhorst,18,8,171,48,58,725,30,142,65,55,5,3,119,25,32,366,52.5413233,13.231156
2017,Spandau,50308,Siemensstadt,10,9,143,32,42,763,33,149,110,36,10,5,155,44,22,343,52.5398082,13.2568934
2017,Spandau,50409,Gatow/Kladow,10,5,84,26,35,420,24,48,68,77,10,5,97,8,5,170,52.4785292,13.15745341
2017,Steglitz-Zehlendorf,60101,Schloßstr.,25,16,181,29,71,2405,35,152,348,36,15,2,209,44,45,434,52.461481,13.3250946
2017,Steglitz-Zehlendorf,60102,Albrechtstr.,22,8,287,57,110,1309,86,295,276,83,38,15,334,74,66,679,52.4564222,13.3227281
2017,Steglitz-Zehlendorf,60203,Lankwitz,15,7,274,46,121,1014,49,185,122,67,14,4,329,34,70,643,52.4336977,13.3454858
2017,Steglitz-Zehlendorf,60204,Ostpreußendamm,16,7,204,51,97,1018,50,179,185,104,13,6,288,69,42,484,52.4212825,13.3109161
2017,Steglitz-Zehlendorf,60305,Teltower Damm,12,7,173,30,100,1066,40,165,371,92,15,5,258,56,37,447,52.4325566,13.2591755
2017,Steglitz-Zehlendorf,60306,Drakestr.,11,1,156,42,83,1431,78,291,235,107,30,12,298,38,32,502,52.4411757,13.2986611
2017,Steglitz-Zehlendorf,60407,Zehlendorf Südwest,15,7,138,36,85,1009,35,172,173,83,17,7,316,150,13,370,52.45500135,13.30537223
2017,Steglitz-Zehlendorf,60408,Zehlendorf Nord,26,13,208,34,94,1785,94,363,395,196,26,5,484,193,46,553,52.45939305,13.2763732
2017,Tempelhof-Schöneberg,70101,Schöneberg-Nord,131,78,757,202,211,5144,71,376,723,159,34,19,569,82,390,2075,52.48301055,13.36895252
2017,Tempelhof-Schöneberg,70202,Schöneberg-Süd,54,30,563,140,181,3309,67,399,626,82,22,10,550,130,185,1199,52.4887863,13.34534357
2017,Tempelhof-Schöneberg,70303,Friedenau,26,13,269,57,98,2386,74,281,493,88,19,12,407,99,55,715,52.472075,13.3296424
2017,Tempelhof-Schöneberg,70404,Tempelhof,57,24,668,125,269,3766,107,876,435,106,60,15,696,186,241,1442,52.4632921,13.3864477
2017,Tempelhof-Schöneberg,70505,Mariendorf,40,17,382,84,151,1637,81,460,166,108,29,9,369,48,82,871,52.44008,13.3900277
2017,Tempelhof-Schöneberg,70606,Marienfelde,17,4,245,45,96,973,49,225,109,49,18,8,263,36,49,553,52.4125766,13.3665916
2017,Tempelhof-Schöneberg,70707,Lichtenrade,18,8,265,51,98,1133,82,248,106,127,26,9,288,50,60,557,52.3934559,13.4020397
2017,Neukölln,80101,Schillerpromenade,68,42,424,138,124,2464,39,361,327,94,39,15,538,162,354,1238,52.4780914,13.4219833
2017,Neukölln,80103,Reuterstraße,47,21,582,217,164,3005,44,292,437,78,25,9,532,143,182,1406,52.4894355,13.4290032
2017,Neukölln,80104,Rixdorf,64,32,520,154,155,2323,41,288,375,121,21,6,508,109,284,1452,52.4740949,13.4456092
2017,Neukölln,80105,Köllnische Heide,26,12,190,53,67,1151,44,257,51,38,19,9,218,20,55,548,52.4696457,13.4679658
2017,Neukölln,80206,Britz,71,43,486,139,190,2335,86,560,173,162,36,28,434,65,89,1249,52.4483324,13.4423401
2017,Neukölln,80207,Buckow,6,1,162,34,75,500,39,121,28,77,12,4,169,19,18,399,52.4186619,13.4289504
2017,Neukölln,80308,Gropiusstadt,54,36,362,93,112,1643,63,241,185,70,6,6,302,30,27,928,52.4249493,13.466183
2017,Neukölln,80409,Buckow Nord,9,3,100,21,53,471,26,105,43,22,5,2,52,6,8,217,52.4345646,13.467525
2017,Neukölln,80410,Rudow,21,11,264,60,131,1191,110,300,128,197,25,6,276,28,22,600,52.4146801,13.4986183
2017,Treptow-Köpenick,90101,Alt-Treptow,44,25,184,51,48,1310,20,120,274,37,7,3,225,103,123,542,52.4925634,13.4598743
2017,Treptow-Köpenick,90102,Plänterwald,6,3,80,18,35,501,41,138,105,19,7,5,133,30,17,207,52.4795439,13.4788076
2017,Treptow-Köpenick,90103,Baumschulenweg,11,6,134,22,54,894,50,162,161,27,11,5,182,54,19,336,52.4616938,13.4815479
2017,Treptow-Köpenick,90104,Johannisthal,7,6,127,26,51,654,61,180,88,37,6,1,138,28,26,287,52.4459114,13.504547
2017,Treptow-Köpenick,90205,Oberschöneweide,13,7,318,66,84,1082,49,251,157,25,13,7,303,55,66,671,52.4624563,13.5234762
2017,Treptow-Köpenick,90206,Niederschöneweide,17,8,192,38,49,1083,55,99,153,14,9,3,251,140,44,351,52.4548197,13.5178766
2017,Treptow-Köpenick,90207,Adlershof,19,11,125,29,43,1142,40,189,209,20,6,3,216,60,23,308,52.4378932,13.5475496
2017,Treptow-Köpenick,90309,Altglienicke,8,4,183,35,69,712,107,193,91,69,11,6,152,33,19,359,52.4118651,13.5425859
2017,Treptow-Köpenick,90310,Bohnsdorf,7,2,112,27,32,459,43,65,39,41,2,1,99,21,16,204,52.4022426,13.5706649
2017,Treptow-Köpenick,90311,Grünau,3,2,44,9,19,243,8,48,38,11,1,1,167,124,1,104,52.4154272,13.5805633
2017,Treptow-Köpenick,90413,Köpenick-Süd,4,2,71,14,35,278,23,59,37,29,4,0,131,19,26,173,52.4552462,13.57954668
2017,Treptow-Köpenick,90414,Allende-Viertel,2,1,40,7,6,174,20,26,26,4,2,0,50,8,1,81,52.44418545,13.5906322
2017,Treptow-Köpenick,90416,Müggelheim,1,0,32,5,12,70,4,22,7,6,2,2,27,10,3,50,52.4121651,13.6619543
2017,Treptow-Köpenick,90517,Friedrichshagen,4,3,87,19,35,579,42,77,180,8,4,1,172,62,11,218,52.4493804,13.6262724
2017,Treptow-Köpenick,90518,Rahnsdorf/Hessenwinkel,4,3,58,12,16,275,12,77,79,25,0,0,60,11,2,95,52.423057,13.7228907
2017,Treptow-Köpenick,90519,Dammvorstadt,15,7,142,38,46,686,10,74,105,18,7,5,159,49,24,291,52.4549323,13.5766447
2017,Treptow-Köpenick,90520,Köpenick-Nord,4,3,50,13,16,253,18,58,67,30,2,0,75,23,7,114,52.4657155,13.5748928
2017,Marzahn-Hellersdorf,100101,Marzahn-Nord,22,13,363,66,92,723,69,111,101,22,20,9,255,73,26,678,52.5700359,13.5712517
2017,Marzahn-Hellersdorf,100102,Marzahn-Mitte,39,26,696,124,195,2351,174,445,155,53,35,9,519,81,79,1574,52.5115216,13.5394521
2017,Marzahn-Hellersdorf,100103,Marzahn-Süd,20,9,392,73,116,1765,169,435,101,64,18,6,337,49,48,882,52.5219286,13.54347508
2017,Marzahn-Hellersdorf,100204,Hellersdorf-Nord,39,22,581,111,139,1470,88,186,105,25,30,11,617,199,89,1085,52.5211535,13.5889176
2017,Marzahn-Hellersdorf,100205,Hellersdorf-Ost,24,11,291,51,69,558,22,74,113,12,14,2,218,65,23,526,52.5372245,13.6188701
2017,Marzahn-Hellersdorf,100206,Hellersdorf-Süd,10,6,291,51,86,668,66,101,64,17,9,1,283,101,41,555,52.5219659,13.5876605
2017,Marzahn-Hellersdorf,100307,Biesdorf,18,8,181,33,65,1112,38,156,159,133,9,4,237,68,16,409,52.5109922,13.5550131
2017,Marzahn-Hellersdorf,100408,Kaulsdorf,8,4,190,13,35,455,13,72,99,55,3,2,142,28,13,307,52.5101316,13.5809901
2017,Marzahn-Hellersdorf,100409,Mahlsdorf,9,3,101,19,44,543,20,88,101,77,2,0,196,83,10,206,52.5086995,13.6131624
2017,Lichtenberg,110102,Neu-Hohenschönhausen Nord,23,10,247,45,63,722,55,102,119,25,17,3,199,25,64,600,52.564445,13.5070276
2017,Lichtenberg,110204,Alt-Hohenschönhausen Nord,12,7,170,29,41,736,32,119,71,53,8,1,141,26,25,326,52.5483391,13.5039694
2017,Lichtenberg,110306,Fennpfuhl,34,27,231,46,87,1288,83,359,149,72,20,5,339,79,29,586,52.5287849,13.4734687
2017,Lichtenberg,110307,Alt-Lichtenberg,24,11,513,119,136,2342,85,384,222,66,26,13,428,126,67,932,52.5196723,13.4950457
2017,Lichtenberg,110308,Frankfurter Allee Süd,20,14,158,50,44,857,34,85,97,15,8,3,171,65,59,303,52.5101663,13.48068781
2017,Lichtenberg,110409,Neu Lichtenberg,19,13,307,68,98,1524,47,210,275,50,20,7,371,116,75,728,52.5661794,13.5122261
2017,Lichtenberg,110410,Friedrichsfelde Nord,8,5,128,30,35,550,45,130,49,16,8,3,138,33,30,263,52.51512075,13.51647414
2017,Lichtenberg,110411,Friedrichsfelde Süd,17,10,160,27,56,784,58,150,101,22,21,13,232,56,27,375,52.5111232,13.53410889
2017,Lichtenberg,110512,Rummelsburger Bucht,2,2,32,6,12,251,10,32,64,14,3,1,58,17,10,97,52.493555,13.4809321
2017,Lichtenberg,110513,Karlshorst,7,5,136,37,54,913,45,120,265,83,13,4,146,23,26,294,52.4843399,13.5235848
2017,Lichtenberg,119900,"Bezirk (Lb), nicht zuzuordnen",16,12,37,15,18,307,32,90,49,0,5,1,68,13,14,112,52.5594816,13.51811848
2017,Reinickendorf,123021,MV 1 - Märkisches Viertel,41,24,529,110,199,1412,48,302,88,45,36,18,290,47,84,1060,52.5993123,13.3565324
2018,Mitte,10111,Tiergarten Süd,70,58,416,125,103,2540,17,274,310,39,14,3,284,42,273,1247,52.52549055,13.35228896
2018,Mitte,10112,Regierungsviertel,34,16,519,110,114,3883,15,199,372,35,6,1,407,159,133,857,52.5194841,13.3764685
2018,Mitte,10113,Alexanderplatz,130,80,1531,366,309,10144,68,580,880,133,26,6,1036,333,971,2798,52.5219814,13.41363572
2018,Mitte,10221,Moabit West,71,38,653,164,215,2470,37,398,447,83,29,12,496,99,435,1262,52.5308177,13.3264507
2018,Mitte,10222,Moabit Ost,61,38,689,150,210,3620,30,281,361,73,31,8,435,73,473,1421,52.5370052,13.3509974
2018,Mitte,10331,Osloer Straße,77,42,752,205,250,2624,46,288,260,73,29,13,439,92,217,1397,52.5571597,13.3732715
2018,Mitte,10442,Wedding Zentrum,90,54,958,247,243,3252,52,438,434,108,39,8,710,169,534,1821,52.55598435,13.36393098
2018,Pankow,30101,Buch,11,2,179,37,72,635,15,66,144,13,12,6,176,47,33,337,52.6366724,13.4999292
2018,Pankow,30203,Buchholz,6,3,70,10,28,329,25,50,58,23,7,2,92,12,9,161,52.6105131,13.4281104
2018,Pankow,30304,Karow,4,2,84,20,29,418,3,102,126,34,1,0,107,18,13,200,52.6150868,13.4862758
2018,Pankow,30406,Pankow Zentrum,27,19,207,46,93,1854,47,175,580,63,15,3,296,95,43,660,52.5770168,13.40101573
2018,Pankow,30408,Pankow Süd,35,23,219,52,94,1070,53,134,387,63,15,6,260,74,40,569,52.5662347,13.415688
2018,Pankow,30509,Weißensee,21,12,327,88,127,1399,73,146,278,63,23,6,336,51,47,748,52.5546193,13.4630018
2018,Pankow,30612,Prenzlauer Berg Nord,24,13,190,49,79,1450,55,133,439,39,14,7,264,89,54,490,52.5481466,13.4165959
2018,Pankow,30613,Helmholtzplatz,14,4,190,55,60,1016,16,57,296,23,5,4,279,127,49,478,52.5430211,13.41903262
2018,Pankow,30614,Prenzlauer Berg Ost,37,15,371,78,77,2098,58,184,309,68,32,12,439,181,71,702,52.5430767,13.4149784
2018,Pankow,39900,"Bezirk (Pk), nicht zuzuordnen",20,17,63,17,29,553,30,111,144,0,5,3,77,9,42,156,52.56049795,13.48790547
2018,Charlottenburg-Wilmersdorf,40101,Charlottenburg-Nord,23,6,279,84,107,1030,70,240,123,51,16,9,232,22,185,721,52.5405253,13.2962663
2018,Charlottenburg-Wilmersdorf,40202,Heerstrasse,16,9,178,64,39,656,34,126,75,89,3,1,139,51,49,334,52.5087199,13.2183525
2018,Charlottenburg-Wilmersdorf,40203,Westend,25,16,318,83,119,2188,66,347,213,79,11,4,243,33,45,703,52.5133992,13.2558416
2018,Charlottenburg-Wilmersdorf,40304,Schloß Charlottenburg,18,10,282,62,87,1062,29,105,190,52,14,6,261,80,37,638,52.5206424,13.29271035
2018,Charlottenburg-Wilmersdorf,40305,Mierendorffplatz,7,3,158,35,75,847,19,129,126,27,11,10,121,21,50,398,52.5263437,13.3047721
2018,Charlottenburg-Wilmersdorf,40306,Otto-Suhr-Allee,38,20,445,105,151,2266,32,216,421,62,19,9,399,104,65,1144,52.5170866,13.3073288
2018,Charlottenburg-Wilmersdorf,40307,Neue Kantstraße,33,19,252,58,78,1534,47,195,269,66,15,6,222,47,57,724,52.5064735,13.2826329
2018,Charlottenburg-Wilmersdorf,40308,Kantstraße,38,15,284,54,85,2457,16,118,274,75,9,0,217,24,56,780,52.506563,13.3079489
2018,Charlottenburg-Wilmersdorf,40309,Kurfürstendamm,62,31,760,218,154,4351,35,227,264,46,15,5,387,82,173,1618,52.4996698,13.3057323
2018,Charlottenburg-Wilmersdorf,40310,Halensee,13,4,136,26,39,1130,33,152,123,33,9,6,108,22,16,453,52.4972262,13.2929986
2018,Charlottenburg-Wilmersdorf,40411,Grunewald,12,5,89,18,56,793,41,259,96,87,10,7,235,82,15,374,52.4873475,13.2637538
2018,Charlottenburg-Wilmersdorf,40412,Schmargendorf,4,1,60,10,28,567,36,149,54,50,5,2,91,17,18,192,52.4789022,13.2929962
2018,Charlottenburg-Wilmersdorf,40413,Wiesbadener Straße,10,3,94,16,29,579,43,83,179,18,6,2,96,23,15,240,52.4721226,13.3142591
2018,Charlottenburg-Wilmersdorf,40514,Düsseldorfer Straße,40,15,242,58,108,2210,54,284,337,107,11,8,363,132,70,1129,52.4958905,13.3208664
2018,Charlottenburg-Wilmersdorf,40515,Barstraße,15,5,130,25,63,794,18,118,169,27,6,1,98,8,45,430,52.4875731,13.3138651
2018,Charlottenburg-Wilmersdorf,40516,Volkspark Wilmersdorf,27,13,216,61,96,2129,60,239,471,64,23,7,259,53,75,736,52.48338525,13.32550347
2018,Charlottenburg-Wilmersdorf,40617,Forst Grunewald,7,4,22,3,6,32,1,7,1,0,5,5,9,2,0,36,52.4927826,13.21100356
2018,Spandau,50101,Hakenfelde,16,11,202,56,55,864,36,237,58,16,17,10,193,5,26,480,52.5609908,13.1967693
2018,Spandau,50102,Falkenhagener Feld,35,24,427,92,154,1012,56,194,174,41,29,13,296,10,53,904,52.5524034,13.1668941
2018,Spandau,50103,Spandau Mitte,104,61,701,183,214,2227,33,332,270,38,29,13,425,50,224,1397,52.5310341,13.2145545
2018,Spandau,50204,Brunsbütteler Damm,12,8,210,49,73,765,46,123,88,42,17,3,177,26,25,411,52.5327519,13.1494034
2018,Spandau,50205,Heerstraße Nord,33,17,350,74,148,949,34,157,57,50,23,13,239,36,44,750,52.5216282,13.1630709
2018,Spandau,50206,Wilhelmstadt,56,27,666,185,208,2681,32,208,234,57,20,8,451,52,134,1268,52.5139207,13.1914518
2018,Spandau,50307,Haselhorst,15,9,170,25,63,772,43,147,56,24,10,5,133,19,24,414,52.5413233,13.231156
2018,Spandau,50308,Siemensstadt,17,6,152,34,46,773,34,94,169,31,4,1,128,35,17,417,52.5398082,13.2568934
2018,Spandau,50409,Gatow/Kladow,7,3,104,21,58,395,12,61,38,66,9,3,82,2,11,217,52.4785292,13.15745341
2018,Steglitz-Zehlendorf,60101,Schloßstr.,24,15,205,45,60,2152,21,113,302,33,10,0,191,52,50,445,52.461481,13.3250946
2018,Steglitz-Zehlendorf,60102,Albrechtstr.,24,10,250,51,132,1440,54,299,300,90,16,5,331,89,69,776,52.4564222,13.3227281
2018,Steglitz-Zehlendorf,60203,Lankwitz,19,4,386,81,175,1167,41,254,130,76,22,12,290,33,84,789,52.4336977,13.3454858
2018,Steglitz-Zehlendorf,60204,Ostpreußendamm,19,8,199,31,94,1034,33,201,163,91,13,4,262,46,38,548,52.4212825,13.3109161
2018,Steglitz-Zehlendorf,60305,Teltower Damm,14,7,180,30,86,1135,30,212,344,74,15,5,242,31,55,422,52.4325566,13.2591755
2018,Steglitz-Zehlendorf,60306,Drakestr.,10,3,255,44,110,1759,61,492,351,85,30,11,329,30,45,650,52.4411757,13.2986611
2018,Steglitz-Zehlendorf,60407,Zehlendorf Südwest,6,4,164,40,48,912,28,220,142,49,28,11,312,146,32,307,52.45500135,13.30537223
2018,Steglitz-Zehlendorf,60408,Zehlendorf Nord,14,7,181,40,85,1668,57,429,309,165,17,8,449,183,60,485,52.45939305,13.2763732
2018,Tempelhof-Schöneberg,70101,Schöneberg-Nord,117,74,801,239,228,6218,55,395,598,132,27,14,590,124,459,3424,52.48301055,13.36895252
2018,Tempelhof-Schöneberg,70202,Schöneberg-Süd,43,17,542,130,214,3553,50,331,690,115,20,8,586,174,259,1717,52.4887863,13.34534357
2018,Tempelhof-Schöneberg,70303,Friedenau,23,10,266,70,110,2279,72,238,437,88,18,9,360,81,56,748,52.472075,13.3296424
2018,Tempelhof-Schöneberg,70404,Tempelhof,57,24,652,151,261,3729,105,652,504,134,51,11,812,239,358,1724,52.4632921,13.3864477
2018,Tempelhof-Schöneberg,70505,Mariendorf,28,16,363,76,131,1760,57,419,187,119,31,13,457,78,82,899,52.44008,13.3900277
2018,Tempelhof-Schöneberg,70606,Marienfelde,22,12,212,48,87,1056,24,226,90,52,20,9,211,46,61,525,52.4125766,13.3665916
2018,Tempelhof-Schöneberg,70707,Lichtenrade,25,13,352,61,113,1147,38,307,99,106,19,8,367,75,76,696,52.3934559,13.4020397
2018,Neukölln,80101,Schillerpromenade,80,46,530,181,121,2316,36,363,229,86,36,21,431,77,371,1271,52.4780914,13.4219833
2018,Neukölln,80103,Reuterstraße,53,28,584,210,136,2889,28,364,401,69,21,10,492,169,331,1355,52.4894355,13.4290032
2018,Neukölln,80104,Rixdorf,33,18,533,144,198,2086,33,299,318,88,23,10,516,102,236,1361,52.4740949,13.4456092
2018,Neukölln,80105,Köllnische Heide,25,7,261,74,103,1124,36,287,45,42,24,9,367,19,88,622,52.4696457,13.4679658
2018,Neukölln,80206,Britz,70,41,440,97,203,2071,75,529,181,132,34,18,514,90,94,1193,52.4483324,13.4423401
2018,Neukölln,80207,Buckow,16,7,201,41,101,566,32,169,36,42,16,9,194,27,34,487,52.4186619,13.4289504
2018,Neukölln,80308,Gropiusstadt,55,32,399,95,149,1881,52,244,101,67,14,3,337,26,48,1258,52.4249493,13.466183
2018,Neukölln,80409,Buckow Nord,10,6,78,14,43,444,24,111,35,14,8,4,58,4,11,181,52.4345646,13.467525
2018,Neukölln,80410,Rudow,33,22,220,49,98,1100,77,299,89,127,26,8,310,51,32,576,52.4146801,13.4986183
2018,Treptow-Köpenick,90101,Alt-Treptow,31,21,155,32,43,1305,14,100,290,21,6,1,182,63,77,496,52.4925634,13.4598743
2018,Treptow-Köpenick,90102,Plänterwald,16,8,67,15,25,412,21,98,76,17,4,4,96,23,15,195,52.4795439,13.4788076
2018,Treptow-Köpenick,90103,Baumschulenweg,12,2,140,32,70,836,27,130,118,77,11,9,167,24,22,384,52.4616938,13.4815479
2018,Treptow-Köpenick,90104,Johannisthal,5,3,137,20,77,578,38,143,92,29,24,5,170,24,19,357,52.4459114,13.504547
2018,Treptow-Köpenick,90205,Oberschöneweide,16,8,355,78,105,892,61,210,115,26,18,7,268,51,81,689,52.4624563,13.5234762
2018,Treptow-Köpenick,90206,Niederschöneweide,31,18,216,39,63,1115,30,94,137,17,7,6,206,108,108,365,52.4548197,13.5178766
2018,Treptow-Köpenick,90207,Adlershof,19,9,189,44,54,1193,39,153,234,35,8,4,249,87,46,404,52.4378932,13.5475496
2018,Treptow-Köpenick,90309,Altglienicke,10,7,179,28,72,674,56,144,101,68,10,2,183,36,34,396,52.4118651,13.5425859
2018,Treptow-Köpenick,90310,Bohnsdorf,7,4,119,16,32,437,32,60,51,36,9,3,88,13,7,207,52.4022426,13.5706649
2018,Treptow-Köpenick,90311,Grünau,3,1,29,5,14,268,7,48,87,16,8,3,117,79,5,85,52.4154272,13.5805633
2018,Treptow-Köpenick,90413,Köpenick-Süd,0,0,84,14,32,345,17,86,61,36,19,3,114,11,10,210,52.4552462,13.57954668
2018,Treptow-Köpenick,90414,Allende-Viertel,4,2,28,5,21,174,10,34,29,6,3,2,46,7,7,76,52.44418545,13.5906322
2018,Treptow-Köpenick,90416,Müggelheim,2,1,20,4,9,84,5,30,13,9,4,4,25,6,5,44,52.4121651,13.6619543
2018,Treptow-Köpenick,90517,Friedrichshagen,6,5,107,28,30,585,29,49,214,13,8,5,158,39,10,233,52.4493804,13.6262724
2018,Treptow-Köpenick,90518,Rahnsdorf/Hessenwinkel,2,0,30,6,15,261,6,52,95,24,4,3,50,9,10,62,52.423057,13.7228907
2018,Treptow-Köpenick,90519,Dammvorstadt,9,5,143,49,36,659,10,54,116,8,3,1,146,27,31,282,52.4549323,13.5766447
2018,Treptow-Köpenick,90520,Köpenick-Nord,13,9,67,10,24,258,10,41,76,35,6,1,93,12,13,168,52.4657155,13.5748928
2018,Marzahn-Hellersdorf,100101,Marzahn-Nord,26,20,382,65,77,655,54,99,94,18,19,3,309,84,53,649,52.5700359,13.5712517
2018,Marzahn-Hellersdorf,100102,Marzahn-Mitte,39,22,688,142,193,1679,135,252,98,46,50,15,469,65,96,1281,52.5115216,13.5394521
2018,Marzahn-Hellersdorf,100103,Marzahn-Süd,16,8,326,54,132,1378,142,290,85,43,26,7,350,54,56,725,52.5219286,13.54347508
2018,Marzahn-Hellersdorf,100204,Hellersdorf-Nord,26,14,561,104,201,1339,70,133,100,35,59,25,541,114,110,1091,52.5211535,13.5889176
2018,Marzahn-Hellersdorf,100205,Hellersdorf-Ost,14,9,277,44,87,493,35,71,67,8,19,6,231,40,50,510,52.5372245,13.6188701
2018,Marzahn-Hellersdorf,100206,Hellersdorf-Süd,16,7,381,88,104,652,33,78,98,22,31,8,329,99,50,647,52.5219659,13.5876605
2018,Marzahn-Hellersdorf,100307,Biesdorf,12,6,149,30,64,1043,40,133,184,98,21,6,190,41,27,325,52.5109922,13.5550131
2018,Marzahn-Hellersdorf,100408,Kaulsdorf,4,2,116,13,39,429,15,95,111,31,11,2,163,16,17,275,52.5101316,13.5809901
2018,Marzahn-Hellersdorf,100409,Mahlsdorf,6,3,113,19,44,572,18,137,134,68,1,1,162,48,13,238,52.5086995,13.6131624
2018,Lichtenberg,110102,Neu-Hohenschönhausen Nord,17,7,283,56,90,778,53,122,68,26,23,9,243,16,79,667,52.564445,13.5070276
2018,Lichtenberg,110204,Alt-Hohenschönhausen Nord,8,2,202,48,75,687,26,94,43,42,12,7,186,66,32,360,52.5483391,13.5039694
2018,Lichtenberg,110306,Fennpfuhl,13,8,318,78,114,1134,75,233,161,48,21,6,300,41,45,654,52.5287849,13.4734687
2018,Lichtenberg,110307,Alt-Lichtenberg,34,22,493,118,115,2276,67,270,252,40,27,11,354,86,84,1016,52.5196723,13.4950457
2018,Lichtenberg,110308,Frankfurter Allee Süd,11,6,172,42,35,806,22,89,101,14,6,4,163,47,85,334,52.5101663,13.48068781
2018,Lichtenberg,110409,Neu Lichtenberg,30,18,351,75,108,1646,49,163,351,69,19,6,395,127,58,771,52.5661794,13.5122261
2018,Lichtenberg,110410,Friedrichsfelde Nord,8,5,145,27,47,500,53,82,66,20,18,5,128,26,21,293,52.51512075,13.51647414
